ball_one;ball_two;ball_three;ball_four;ball_five;ball_six;bonusball;sum_six_ball;sum_allballs
12;17;18;21;33;37;23;138;161
6;18;27;33;37;45;42;166;208
3;7;11;28;31;43;46;123;169
4;11;16;21;36;40;8;128;136
9;14;22;24;37;44;45;150;195
1;2;9;13;21;34;47;80;127
20;23;36;37;38;39;32;193;225
1;5;18;22;32;45;38;123;161
22;29;30;31;44;45;6;201;207
4;11;12;18;25;39;40;109;149
4;14;25;27;42;45;2;157;159
1;21;28;30;43;45;2;168;170
3;12;13;23;36;47;16;134;150
6;18;36;41;46;47;32;194;226
9;15;25;30;32;34;43;145;188
25;31;32;41;43;46;45;218;263
14;15;29;34;41;46;9;179;188
1;2;10;16;21;32;18;82;100
8;11;29;42;44;46;18;180;198
1;14;18;23;30;32;4;118;122
4;12;25;26;27;44;8;138;146
20;24;27;32;39;43;25;185;210
12;16;23;26;34;45;13;156;169
3;9;11;27;29;47;34;126;160
17;27;30;35;42;47;34;198;232
4;18;26;30;31;37;8;146;154
29;30;36;38;44;45;25;222;247
33;38;39;40;43;45;18;238;256
10;14;21;22;35;44;13;146;159
1;4;15;29;38;40;31;127;158
10;14;33;40;42;45;8;184;192
1;14;22;28;37;45;25;147;172
5;10;17;22;29;36;25;119;144
7;11;28;29;35;40;12;150;162
10;16;17;24;26;42;35;135;170
12;14;22;25;26;40;33;139;172
9;15;28;34;39;46;26;171;197
5;8;16;22;30;31;12;112;124
1;5;12;23;45;46;41;132;173
3;5;6;27;29;39;36;109;145
2;8;15;31;37;44;3;137;140
1;6;14;19;31;47;2;118;120
2;4;14;21;41;42;28;124;152
8;19;21;22;34;47;15;151;166
1;4;16;23;26;35;31;105;136
1;3;26;27;41;47;16;145;161
5;11;16;41;43;47;14;163;177
17;18;19;27;30;46;12;157;169
18;21;27;29;34;47;46;176;222
4;14;20;23;27;37;39;125;164
4;11;18;21;33;35;16;122;138
23;27;39;40;41;42;17;212;229
15;17;23;32;35;45;46;167;213
2;5;8;24;43;47;45;129;174
5;9;13;34;37;40;26;138;164
4;17;23;37;40;44;7;165;172
4;27;37;43;44;46;32;201;233
1;7;20;26;43;45;37;142;179
2;5;7;10;24;46;38;94;132
6;26;31;38;39;47;22;187;209
3;14;17;18;38;47;46;137;183
15;20;25;32;44;47;40;183;223
15;29;34;38;40;43;14;199;213
2;10;12;13;38;40;17;115;132
16;27;34;35;37;45;28;194;222
6;7;13;19;21;45;15;111;126
11;12;21;30;35;38;36;147;183
1;8;31;32;33;39;46;144;190
1;9;22;34;41;43;20;150;170
8;9;26;41;42;44;6;170;176
7;17;21;28;38;41;23;152;175
7;24;27;33;34;40;30;165;195
